,name,cid_c,cid_w,cid_u,cid_g,cid_b,cid_r,mc_c,mc_w,mc_u,mc_b,mc_r,mc_g,power,toughness,flying,trample,doublestrike,first_strike,vigilance,haste,menace,fear,shadow,defender,deathtouch,indestructible,hexproof,shroud
48,Adanto Vanguard,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,Adaptive Automaton,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Adaptive Snapjaw,0,0,0,0,0,1,4,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Adarkar Sentinel,1,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Adarkar Unicorn,0,1,1,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Adarkar Valkyrie,0,1,0,0,0,0,4,2,0,0,0,0,4,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
54,Adarkar Windform,0,0,1,0,0,0,4,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Adder-Staff Boggart,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Adeliz, the Cinder Wind",0,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
57,Admiral Beckett Brass,0,0,1,1,1,0,1,0,1,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Admonition Angel,0,1,0,0,0,0,3,3,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Adorable Kitten,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Adorned Pouncer,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,"Adriana, Captain of the Guard",0,1,0,0,1,0,3,1,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Adun Oakenshield,0,0,0,1,1,1,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Advance Scout,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,Advanced Hoverguard,0,0,1,0,0,0,3,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
65,Advanced Stitchwing,0,0,1,0,0,0,3,0,2,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Advocate of the Beast,0,0,0,0,0,1,2,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Aegis Angel,0,1,0,0,0,0,4,2,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0
68,Aegis Automaton,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Aegis of the Gods,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,Aerathi Berserker,0,0,0,0,1,0,2,0,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Aerial Caravan,0,0,1,0,0,0,4,0,2,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Aerial Engineer,0,1,1,0,0,0,2,1,1,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Aerial Guide,0,0,1,0,0,0,2,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Aerial Responder,0,1,0,0,0,0,1,2,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
75,Aerial Toastmaster,0,1,0,0,0,0,3,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Aerie Bowmasters,0,0,0,0,0,1,2,0,0,0,0,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Aerie Mystics,0,1,1,0,0,1,4,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
78,Aerie Ouphes,0,0,0,0,0,1,4,0,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Aerie Worshippers,0,0,1,0,0,0,3,0,1,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Aeronaut Admiral,0,1,0,0,0,0,3,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Aeronaut Tinkerer,0,0,1,0,0,0,2,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Aesthir Glider,1,0,0,0,0,0,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Aether Adept,0,0,1,0,0,0,1,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Aether Chaser,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,Aether Figment,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Aether Herder,0,0,0,0,0,1,3,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Aether Inspector,0,1,0,0,0,0,3,1,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,Aether Membrane,0,0,0,0,1,0,1,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0
89,Aether Poisoner,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,Aether Searcher,1,0,0,0,0,0,7,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Aether Swooper,0,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Aether Theorist,0,0,1,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Aetherborn Marauder,0,0,0,1,0,0,3,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Aetherflame Wall,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
95,Aethergeode Miner,0,1,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Aetherling,0,0,1,0,0,0,4,0,2,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Aetherplasm,0,0,1,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Aethershield Artificer,0,1,0,0,0,0,3,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,Aethersnipe,0,0,1,0,0,0,5,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Aethersquall Ancient,0,0,1,0,0,0,5,0,2,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Aetherstorm Roc,0,1,0,0,0,0,2,2,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Aetherstream Leopard,0,0,0,0,0,1,2,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,Aethertide Whale,0,0,1,0,0,0,4,0,2,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Aethertorch Renegade,0,0,0,0,1,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Aetherwind Basker,0,0,0,0,0,1,4,0,0,0,0,3,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,Affa Guard Hound,0,1,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Affa Protector,0,1,0,0,0,0,2,1,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,Affectionate Indrik,0,0,0,0,0,1,5,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Afflicted Deserter,0,0,0,0,1,0,3,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Agadeem Occultist,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Ageless Entity,0,0,0,0,0,1,3,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Ageless Sentinels,0,1,0,0,0,0,3,1,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0
113,Agent of Acquisitions,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Agent of Erebos,0,0,0,1,0,0,3,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Agent of Horizons,0,0,1,0,0,1,2,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Agent of Masks,0,1,0,1,0,0,3,1,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Agent of Shauku,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Agent of Stromgald,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Agent of the Fates,0,0,0,1,0,0,1,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,Aggressive Mammoth,0,0,0,0,0,1,3,0,0,0,0,3,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,"Agrus Kos, Wojek Veteran",0,1,0,0,1,0,3,1,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Ahn-Crop Champion,0,1,0,0,0,1,2,1,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Ahn-Crop Crasher,0,0,0,0,1,0,2,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,Ainok Artillerist,0,0,0,0,0,1,2,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Ainok Bond-Kin,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,Ainok Guide,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Ainok Survivalist,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Ainok Tracker,0,0,0,0,1,0,5,0,0,0,1,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,Air Elemental,0,0,1,0,0,0,3,0,2,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Air Servant,0,0,1,0,0,0,4,0,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Airdrop Aeronauts,0,1,0,0,0,0,3,2,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Airdrop Condor,0,0,0,0,1,0,4,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Aisling Leprechaun,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Ajani's Chosen,0,1,0,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Ajani's Comrade,0,0,0,0,0,1,1,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,Ajani's Pridemate,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Ajani's Sunstriker,0,1,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,"Akiri, Line-Slinger",0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
139,Akki Avalanchers,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Akki Blizzard-Herder,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Akki Coalflinger,0,0,0,0,1,0,1,0,0,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,Akki Drillmaster,0,0,0,0,1,0,2,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
143,Akki Lavarunner,0,0,0,0,1,0,3,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
144,Akki Raider,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Akki Rockspeaker,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Akki Underling,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,Akki Underminer,0,0,0,0,1,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Akoum Battlesinger,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149,Akoum Boulderfoot,0,0,0,0,1,0,4,0,0,0,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Akoum Firebird,0,0,0,0,1,0,2,0,0,0,2,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
151,Akoum Flameseeker,0,0,0,0,1,0,2,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Akoum Hellkite,0,0,0,0,1,0,4,0,0,0,2,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Akoum Stonewaker,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
154,Akrasan Squire,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Akroan Conscriptor,0,0,0,0,1,0,4,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
156,Akroan Crusader,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
157,Akroan Hoplite,0,1,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Akroan Horse,1,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,Akroan Jailer,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Akroan Line Breaker,0,0,0,0,1,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Akroan Mastiff,0,1,0,0,0,0,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Akroan Phalanx,0,1,0,0,1,0,3,1,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
163,Akroan Sergeant,0,0,0,0,1,0,2,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
164,Akroan Skyguard,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Akroma's Devoted,0,1,0,0,0,0,3,1,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
166,"Akroma, Angel of Fury",0,0,0,0,1,0,5,0,0,0,3,0,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
167,"Akroma, Angel of Wrath",0,1,0,0,0,0,5,3,0,0,0,0,6,6,1,1,0,1,1,1,0,0,0,0,0,0,0,0
168,Akron Legionnaire,0,1,0,0,0,0,6,2,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Aku Djinn,0,0,0,1,0,0,3,0,0,2,0,0,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170,"Akuta, Born of Ash",0,0,0,1,0,0,2,0,0,2,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,Alabaster Dragon,0,1,0,0,0,0,4,2,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Alabaster Kirin,0,1,0,0,0,0,3,1,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
173,Alabaster Leech,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Alabaster Mage,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Alabaster Wall,0,1,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
176,Alaborn Cavalier,0,1,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Alaborn Grenadier,0,1,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
178,Alaborn Musketeer,0,1,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Alaborn Trooper,0,1,0,0,0,0,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Alaborn Veteran,0,1,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Alaborn Zealot,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Aladdin,0,0,0,0,1,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Albino Troll,0,0,0,0,0,1,1,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Alchemist's Apprentice,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Alert Shu Infantry,0,1,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186,Alesha's Vanguard,0,0,0,1,0,0,3,0,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
187,"Alesha, Who Smiles at Death",0,1,0,1,1,0,2,0,0,0,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
188,"Alexi, Zephyr Mage",0,0,1,0,0,0,3,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Algae Gharial,0,0,0,0,0,1,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,"Alhammarret, High Arbiter",0,0,1,0,0,0,5,0,2,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Ali Baba,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Ali from Cairo,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Alley Grifters,0,0,0,1,0,0,1,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Alley Strangler,0,0,0,1,0,0,2,0,0,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195,Alloy Golem,1,0,0,0,0,0,6,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Alloy Myr,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Alluring Siren,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Alms Beast,0,1,0,1,0,0,2,1,0,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Alms Collector,0,1,0,0,0,0,3,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Alpha Kavu,0,0,0,0,0,1,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Alpha Myr,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
